Module / Category,Subsystem / Assembly,Part Description,Agilent Part Number,Replacement For / Original Part,Status,Torque / Service Note,Where to Buy,Notes
Multisampler (G7167B),Dual needle option,"Sample loop flex, 100 uL, left, dual needle",G4267-60501,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60501/G4267-60501,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 500 uL, left, dual needle",G7167-68501,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68501/G7167-68501,
Multisampler (G7167B),Dual needle option,"Sample loop flex, 900 uL, left, dual needle",G7167-68901,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-68901/G7167-68901,
Multisampler (G7167B),Dual needle option,"Extension loop flex, left, dual needle",G7167-60301,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7167-60301/G7167-60301,
Multisampler (G7167B),Dual needle option,"2-position/8-port injection valve, dual needle",5067-4260,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-4260/5067-4260,
Multisampler (G7167B),Dual needle option,Stator for dual needle valve,5068-0231,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0231/5068-0231,
Multisampler (G7167B),Dual needle option,Rotor seal for dual needle injection valve,5068-0232,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0232/5068-0232,
Multisampler (G7167B),Dual needle option,Needle port assembly station,G4267-60044,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-60044/G4267-60044,
Multisampler (G7167B),Dual needle option,Needle port adapter,G4267-40045,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4267-40045/G4267-40045,
Multisampler (G7167B),Tubing/capillaries,"Capillary ST 0.17 x 100 mm, metering device to injection valve",5500-1159,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1159/5500-1159,
Multisampler (G7167B),Tubing/capillaries,"Capillary ST 0.17 x 500 mm, SI/SI",5500-1246,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1246/5500-1246,
Multisampler (G7167B),Tubing/capillaries,"Capillary ST 0.12 x 500 mm, SL/S, sampler to column compartment",5500-1157,5043-1066,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1157/5500-1157,Use installed stack layout to confirm length and fitting style.
Multisampler (G7167B),Doors/accessories,"Door kit, Infinity III 320 mm multisampler",5004-0056,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5004-0056/5004-0056,
Multisampler (G7167B),Doors/accessories,"Insulation window, Infinity II/III 320 right",5043-0885,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5043-0885/5043-0885,
Multisampler (G7167B),Doors/accessories,"Door, multisampler",5360-0024,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5360-0024/5360-0024,
Multisampler (G7167B),Doors/accessories,"Side window, multisampler",5431-0062,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5431-0062/5431-0062,
Multisampler (G7167B),Doors/accessories,Door assembly,5067-5415,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5067-5415/5067-5415,
Multisampler (G7167B),Doors/accessories,Magnet,5021-1879,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5021-1879/5021-1879,
Multisampler (G7167B),Doors/accessories,"Hinge, universal",5431-0016,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5431-0016/5431-0016,
Multisampler (G7167B),Doors/accessories,Light protection kit,G7167-68718,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7167-68718/G7167-68718,
Multisampler (G7167B),Accessory/PM kits,Accessory kit for G7167B,G4267-68705,,Added - kit/accessory,N/A,https://www.agilent.com/store/en_US/Prod-G4267-68705/G4267-68705,
Multisampler (G7167B),Accessory/PM kits,"Preventive maintenance kit, multisampler standard",G7167-68710,,Added - PM kit,Follow kit instructions,https://www.agilent.com/store/en_US/Prod-G7167-68710/G7167-68710,Agilent store PM kit for standard multisampler.
Multisampler (G7167B),Accessory/PM kits,"Preventive maintenance kit, multisampler dual needle",G7167-68720,,Added - optional/variant PM kit,Follow kit instructions,https://www.agilent.com/store/en_US/Prod-G7167-68720/G7167-68720,Use only for dual needle configuration.
Multisampler (G7167B),Bottle/tubing,Bottle head assembly,G4220-60007,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G4220-60007/G4220-60007,Manual notes this is not included in the G4267-68705 accessory kit.
Multisampler (G7167B),Bottle/tubing,"Tubing kit, sampler standard",G4267-60061,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G4267-60061/G4267-60061,
Multisampler (G7167B),Bottle/tubing,"Tubing silicone rubber, 1.2 m",5063-6527,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5063-6527/5063-6527,Also used by other modules for waste/leak tubing.
Multisampler (G7167B),Bottle/tubing,"CAN cable, 1 m",5181-1519,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5181-1519/5181-1519,
Multisampler (G7167B),Tools/small parts,Mounting tool,0100-1710,,Added - tool,N/A,https://www.agilent.com/store/en_US/Prod-0100-1710/0100-1710,
Multisampler (G7167B),Tools/small parts,Mounting tool,5023-2533,,Added - tool,N/A,https://www.agilent.com/store/en_US/Prod-5023-2533/5023-2533,
Multisampler (G7167B),Tools/small parts,Tubing connector leak kit,5067-6137,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5067-6137/5067-6137,
High-Speed Pump (G7120A),Main assemblies,"Jet Weaver, 35 uL/100 uL",G7120-68135,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7120-68135/G7120-68135,
High-Speed Pump (G7120A),Main assemblies,"Jet Weaver, 380 uL",G7120-68380,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7120-68380/G7120-68380,Confirm installed mixer/Jet Weaver volume.
High-Speed Pump (G7120A),Main assemblies,SSV valve assembly,G7120-60029,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7120-60029/G7120-60029,
High-Speed Pump (G7120A),Main assemblies,Peristaltic pump cartridge,5065-4445,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5065-4445/5065-4445,
High-Speed Pump (G7120A),Main assemblies,"Pressure sensor, 1300 bar",G7104-60001,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7104-60001/G7104-60001,
High-Speed Pump (G7120A),Main assemblies,"Long Life Pump Head, Channel A",G4220-60350,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60350/G4220-60350,
High-Speed Pump (G7120A),Main assemblies,"Long Life Pump Head, Channel B",G4220-60360,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60360/G4220-60360,
High-Speed Pump (G7120A),PM kits,Preventive maintenance kit for 1290 Infinity II/III high-speed pump,G7120-68741,,Added - PM kit,Follow kit instructions,https://www.agilent.com/store/en_US/Prod-G7120-68741/G7120-68741,
High-Speed Pump (G7120A),Flow connections,"Capillary ST 0.25 x 250 mm, purge valve to pump heads",5067-4655,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-4655/5067-4655,
High-Speed Pump (G7120A),Flow connections,"Silicone tubing, 1 mm ID, 3 mm OD, 5 m",5065-9978,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5065-9978/5065-9978,
High-Speed Pump (G7120A),Flow connections,"Tubing kit 140 mm, 2/pk, SSV to shutoff valve/degasser",G4220-60035,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G4220-60035/G4220-60035,
High-Speed Pump (G7120A),Flow connections,"Tubing kit 270 mm, 2/pk",5067-4661,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-5067-4661/5067-4661,
High-Speed Pump (G7120A),Flow connections,"Capillary ST 0.17 x 300 mm, valve to Jet Weaver",G4220-87000,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-87000/G4220-87000,
High-Speed Pump (G7120A),Flow connections,"Capillary ST 0.25 x 130 mm, purge valve to pressure sensor",01090-87308,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-01090-87308/01090-87308,
High-Speed Pump (G7120A),Flow connections,"Valve holder, left",G7120-40004,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7120-40004/G7120-40004,
High-Speed Pump (G7120A),Flow connections,Shutoff valve,5067-4124,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-5067-4124/5067-4124,
High-Speed Pump (G7120A),Flow connections,"Bottle head assembly, long, 1730 mm",G7120-60007,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7120-60007/G7120-60007,
High-Speed Pump (G7120A),Flow connections,Ultra Clean tubing kit,G7120-68070,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7120-68070/G7120-68070,Use only if Ultra Clean flow-path kit is installed.
High-Speed Pump (G7120A),Flow connections,"Tubing kit 140 mm, Ultra Clean",G4220-60070,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G4220-60070/G4220-60070,Use only with Ultra Clean configuration.
High-Speed Pump (G7120A),Flow connections,"Bottle head assembly, long, Ultra Clean",G7120-60017,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-G7120-60017/G7120-60017,Use only with Ultra Clean configuration.
High-Speed Pump (G7120A),Flow connections,Solvent cabinet kit,5067-6871,,Added - optional/variant,N/A,https://www.agilent.com/store/en_US/Prod-5067-6871/5067-6871,
High-Speed Pump (G7120A),Pump heads,"Primary pump head assembly, pendulum",G4220-60661,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60661/G4220-60661,
High-Speed Pump (G7120A),Pump heads,"Secondary pump head assembly, pendulum",G4220-60660,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60660/G4220-60660,
High-Speed Pump (G7120A),Pump heads,"Inlet valve, primary pump head",G4220-60022,,Original - verified,Approx. 10 Nm per replace-inlet-valve procedure,https://www.agilent.com/store/en_US/Prod-G4220-60022/G4220-60022,Original entry kept; confirmed as 1200/1300 bar inlet valve family.
High-Speed Pump (G7120A),Pump heads,"Outlet valve, 1300 bar",G4220-60028,5067-4728,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60028/G4220-60028,"Original 5067-4728 is a high-pressure filter seal cap assembly, not the outlet valve."
High-Speed Pump (G7120A),Pump heads,Internal gold seal,G4220-20020,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-20020/G4220-20020,
High-Speed Pump (G7120A),Pump heads,"Cap, outlet valve",5042-9966,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5042-9966/5042-9966,
High-Speed Pump (G7120A),Pump heads,"Pump head adapter assembly, ST",G1312-60001,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G1312-60001/G1312-60001,
High-Speed Pump (G7120A),Pump heads,"Heat exchanger, Channel A",G4220-81013,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-81013/G4220-81013,
High-Speed Pump (G7120A),Pump heads,Screw M5 x 10 planar,5023-3119,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5023-3119/5023-3119,
High-Speed Pump (G7120A),Pump heads,Link plate,G4220-40001,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-40001/G4220-40001,
High-Speed Pump (G7120A),Pump heads,RF transponder,0960-2971,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-0960-2971/0960-2971,
High-Speed Pump (G7120A),Pump heads,"Plunger assembly, ZrO2, long-life",5067-5975,5067-4681,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-5975/5067-5975,Replacement for original sapphire piston row for G7120A long-life pump head.
High-Speed Pump (G7120A),Pump heads,Screw M5 x 40,5810-0009,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5810-0009/5810-0009,
High-Speed Pump (G7120A),Pump heads,"Preload-support assembly, long-life",G4220-60046,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60046/G4220-60046,
High-Speed Pump (G7120A),Pump heads,"Wash seal, PTFE",0905-1175,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-0905-1175/0905-1175,
High-Speed Pump (G7120A),Pump heads,"Seal holder integrated assembly, EM/LL",G4220-60616,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60616/G4220-60616,
High-Speed Pump (G7120A),Pump heads,PE seal,0905-1719,0905-1420,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-0905-1719/0905-1719,Current long-life pump head seal listed in official G7120A parts page.
High-Speed Pump (G7120A),Pump heads,"Body head, primary, EM/LL",G4220-60533,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-60533/G4220-60533,
High-Speed Pump (G7120A),Pump heads,"Body head, secondary, EM/LL",G4220-25513,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-25513/G4220-25513,
High-Speed Pump (G7120A),Pump heads,Spacer fitting,G4220-20001,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-20001/G4220-20001,
High-Speed Pump (G7120A),Pump heads,Lid,G4220-20000,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-20000/G4220-20000,
High-Speed Pump (G7120A),Pump heads,Pump head screw,G4220-20003,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-G4220-20003/G4220-20003,
High-Speed Pump (G7120A),Purge valve/filter,Purge valve head,5067-4236,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-4236/5067-4236,
High-Speed Pump (G7120A),Purge valve/filter,Purge valve stator screws,1535-4857,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-1535-4857/1535-4857,
High-Speed Pump (G7120A),Purge valve/filter,Purge valve stator,5068-0004,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0004/5068-0004,
High-Speed Pump (G7120A),Purge valve/filter,"Purge valve rotor seal, PEEK, 1300 bar",5068-0201,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-5068-0201/5068-0201,
High-Speed Pump (G7120A),Purge valve/filter,Rulon bearing ring,1535-4045,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-1535-4045/1535-4045,
High-Speed Pump (G7120A),Purge valve/filter,Seal cap assembly for high pressure filter,5067-4728,,Original part number reclassified,Re-install filter assembly approx. 16 Nm,https://www.agilent.com/store/en_US/Prod-5067-4728/5067-4728,This was in the original list as an outlet check valve; reclassified to the correct filter part.
High-Speed Pump (G7120A),Purge valve/filter,"PTFE frit for high pressure filter, 5/pk",01018-22707,,Added - baseline/standard,Follow service manual,https://www.agilent.com/store/en_US/Prod-01018-22707/01018-22707,
High-Speed Pump (G7120A),Accessory kit,Accessory kit for G7120A high-speed pump,G7120-68705,,Added - kit/accessory,N/A,https://www.agilent.com/store/en_US/Prod-G7120-68705/G7120-68705,
High-Speed Pump (G7120A),Accessory kit,Waste tubing with fitting,G4220-67000,,Added - kit/accessory,N/A,https://www.agilent.com/store/en_US/Prod-G4220-67000/G4220-67000,
High-Speed Pump (G7120A),Accessory kit,Seal handling device,5067-6197,,Added - tool,N/A,https://www.agilent.com/store/en_US/Prod-5067-6197/5067-6197,
High-Speed Pump (G7120A),Accessory kit,Pump head holder,5043-1400,,Added - tool,N/A,https://www.agilent.com/store/en_US/Prod-5043-1400/5043-1400,
High-Speed Pump (G7120A),Accessory kit,"Capillary ST 0.17 x 900 mm, SI/SX",5500-1217,5067-4650,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1217/5500-1217,Use installed stack layout to verify pump-to-sampler capillary length/fitting style.
Multicolumn Thermostat (G7116B),Plastics/cabinet,"Door kit, TCC HE",G7116-60004,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-60004/G7116-60004,
Multicolumn Thermostat (G7116B),Plastics/cabinet,"Cabinet kit, MCT",G7116-68713,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-68713/G7116-68713,Contains multiple cabinet/plastic parts.
Multicolumn Thermostat (G7116B),Plastics/cabinet,"Base cover, MCT",G7116-40100,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-40100/G7116-40100,
Multicolumn Thermostat (G7116B),Plastics/cabinet,Side cover left insert,G7116-40103,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-40103/G7116-40103,
Multicolumn Thermostat (G7116B),Plastics/cabinet,Side cover right insert,G7116-40106,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-40106/G7116-40106,
Multicolumn Thermostat (G7116B),Plastics/cabinet,MCT hinge base assembly kit,G7116-67004,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-67004/G7116-67004,
Multicolumn Thermostat (G7116B),Plastics/cabinet,Transportation foam assembly,G7116-60003,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-60003/G7116-60003,
Multicolumn Thermostat (G7116B),Leak parts,"Leak adapter top, MCT",G7116-40043,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-40043/G7116-40043,
Multicolumn Thermostat (G7116B),Leak parts,"Leak adapter hitch, MCT",G7116-40013,,Added - baseline/standard,N/A,https://www.agilent.com/store/en_US/Prod-G7116-40013/G7116-40013,
Multicolumn Thermostat (G7116B),Valve options,Valve drive upgrade kit for MCT,G1353D,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G1353D/G1353D,
Multicolumn Thermostat (G7116B),Valve options,1290 Infinity III valve drive,G1170A,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G1170A/G1170A,
Multicolumn Thermostat (G7116B),Valve options,"Valve holder kit, right",5067-6138,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6138/5067-6138,
Multicolumn Thermostat (G7116B),Valve options,"Valve holder kit, left",5067-6139,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-5067-6139/5067-6139,
Multicolumn Thermostat (G7116B),Valve options,Valve drive accessory kit,G1170-68705,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G1170-68705/G1170-68705,
Multicolumn Thermostat (G7116B),Heat exchangers,"Quick Connect Heat Exchanger, ultra-low dispersion, 1.0 uL",G7116-60021,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60021/G7116-60021,Choose by installed column/flow setup.
Multicolumn Thermostat (G7116B),Heat exchangers,"Quick Connect Heat Exchanger, standard flow, 1.6 uL",G7116-60015,G1316-87300,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60015/G7116-60015,Default/common heat exchanger for G7116B; confirm installed flow path.
Multicolumn Thermostat (G7116B),Heat exchangers,"Quick Connect Heat Exchanger, large ID, 3.0 uL",G7116-60051,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60051/G7116-60051,
Multicolumn Thermostat (G7116B),Heat exchangers,"Quick Connect Heat Exchanger, high flow, 3.0 uL",G7116-60031,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60031/G7116-60031,
Multicolumn Thermostat (G7116B),Heat exchangers,"Quick Connect Heat Exchanger, large ID high flow, 6.0 uL",G7116-60061,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60061/G7116-60061,
Multicolumn Thermostat (G7116B),Heat exchangers,"Bio heat exchanger, low dispersion",G7116-60091,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60091/G7116-60091,
Multicolumn Thermostat (G7116B),Heat exchangers,"Bio heat exchanger, standard flow",G7116-60071,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60071/G7116-60071,
Multicolumn Thermostat (G7116B),Heat exchangers,"Bio heat exchanger, high flow",G7116-60081,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60081/G7116-60081,
Multicolumn Thermostat (G7116B),Heat exchangers,Bio-inert heat exchanger,G7116-60041,,Added - optional/variant,Follow service manual,https://www.agilent.com/store/en_US/Prod-G7116-60041/G7116-60041,
Multicolumn Thermostat (G7116B),Accessory kit,Accessory kit for G7116B MCT,G7116-68705,,Added - kit/accessory,N/A,https://www.agilent.com/store/en_US/Prod-G7116-68705/G7116-68705,
Multicolumn Thermostat (G7116B),Accessory kit,"Quick Turn Capillary ST 0.12 x 280 mm, long socket",5500-1191,5067-4649,Corrected from original,Follow service manual,https://www.agilent.com/store/en_US/Prod-5500-1191/5500-1191,Typically column outlet to DAD; verify length for installed stack.
