Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Waters Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
SKU,ACQUITY UPLC BEH Phenyl Column,186002884,"BEH phenyl UPLC column providing complementary selectivity to alkyl phases.","130 A; 1.7 um; 2.1 mm x 50 mm typical; pH 1-12.","Aromatic compounds and alternate reversed-phase selectivity.",Sign in to view Waters price,ACQUITY UPLC BEH Phenyl,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186003978,"ACQUITY UPLC BEH Phenyl VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003978-acquity-uplc-beh-phenyl-vanguard-pre-column-130a-17--m-21-mm-x-.html,,Needs verification,"Use matching Phenyl VanGuard; verify exact analytical SKU/dimensions before ordering."
SKU,ACQUITY UPLC BEH HILIC Column,186003461,"BEH HILIC UPLC column for polar basic analytes and orthogonal selectivity to reversed phase.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Very polar basic analytes; HILIC LC/MS workflows.",Sign in to view Waters price,ACQUITY UPLC BEH HILIC,HILIC,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186003980,"ACQUITY UPLC BEH HILIC VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003980-acquity-uplc-beh-hilic-vanguard-pre-column-130a-17--m-21-mm-x-.html,,Needs verification,"Use matching HILIC VanGuard; verify exact SKU."
SKU,ACQUITY UPLC BEH Amide Column,186004801,"BEH Amide UPLC column for retaining highly polar analytes.","130 A; 1.7 um; 2.1 mm x 50 mm typical; pH 2-11.","Sugars, carbohydrates, and other highly polar analytes in HILIC.",Sign in to view Waters price,ACQUITY UPLC BEH Amide,HILIC,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186004799,"ACQUITY UPLC BEH Amide VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186004799-acquity-uplc-beh-amide-vanguard-pre-column-130a-17--m-21-mm-x-5.html,,Needs verification,"Use matching Amide VanGuard; verify exact SKU."
SKU,ACQUITY UPLC CSH C18 Column,186005297,"Charged Surface Hybrid C18 UPLC column; alternate selectivity and improved loading/peak shape for bases.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Basic compounds, UV/MS reversed-phase methods, alternate selectivity vs BEH C18.",Sign in to view Waters price,ACQUITY UPLC CSH C18,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186005303,"ACQUITY UPLC CSH C18 VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186005303-acquity-uplc-csh-c18-vanguard-pre-column-130a-17--m-21-mm-x-5.html,,Needs verification,"Use matching CSH C18 VanGuard; verify exact analytical SKU."
SKU,ACQUITY UPLC CSH Fluoro-Phenyl Column,186005352,"CSH fluoro-phenyl UPLC column with selectivity for positional isomers, halogenated compounds, and polar analytes.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Positional isomers, halogenated compounds, polar analytes.",Sign in to view Waters price,ACQUITY UPLC CSH Fluoro-Phenyl,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186005353,"ACQUITY UPLC CSH Fluoro-Phenyl VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186005353-acquity-uplc-csh-fluoro-phenyl-vanguard-pre-column-130a-17--m-.html,,Needs verification,"Use matching CSH Fluoro-Phenyl VanGuard; verify exact SKU."
SKU,ACQUITY UPLC CSH Phenyl-Hexyl Column,186005407,"CSH phenyl-hexyl UPLC column with complementary selectivity to straight-chain alkyl phases.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Aromatic compounds, acidic/basic compounds, alternate selectivity.",Sign in to view Waters price,ACQUITY UPLC CSH Phenyl-Hexyl,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186005409,"ACQUITY UPLC CSH Phenyl-Hexyl VanGuard Pre-column, 130 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186005409-acquity-uplc-csh-phenyl-hexyl-vanguard-pre-column-130a-17--m-2.html,,Needs verification,"Use matching CSH Phenyl-Hexyl VanGuard; verify exact SKU."
SKU,ACQUITY UPLC HSS T3 Column,186003538,"Silica-based T3 UPLC column for enhanced retention of polar and nonpolar compounds; aqueous-compatible.","100 A; 1.8 um; 2.1 mm x 50 mm typical.","Polar and nonpolar compounds, 100% aqueous-compatible reversed phase.",Sign in to view Waters price,ACQUITY UPLC HSS T3,Reversed Phase,1.8 um,2.1 mm,50 mm,100 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186003976-HSS-T3,"ACQUITY UPLC HSS T3 VanGuard Pre-column, 100 A, 1.8 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,Needs verification,"Guard part number needs confirmation from Waters shop; match chemistry/particle/ID."
SKU,ACQUITY UPLC HSS C18 Column,186003532,"Silica-based HSS C18 UPLC column with strong retention and low-pH stability.","100 A; 1.8 um; 2.1 mm x 50 mm typical.","General C18 UPLC, increased retention vs hybrid C18.",Sign in to view Waters price,ACQUITY UPLC HSS C18,Reversed Phase,1.8 um,2.1 mm,50 mm,100 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html",,Needs verification,"Use matching HSS C18 VanGuard if available; exact guard SKU not validated."
SKU,ACQUITY UPLC HSS PFP Column,186005965,"Pentafluorophenyl HSS column with selectivity for planar aromatic compounds, positional isomers, halogenated compounds, and polar analytes.","100 A; 1.8 um; 2.1 mm x 50 mm typical.","PFP selectivity; isomers, halogenated compounds, polar analytes.",Sign in to view Waters price,ACQUITY UPLC HSS PFP,Reversed Phase,1.8 um,2.1 mm,50 mm,100 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html",,Needs verification,"Use matching HSS PFP VanGuard if available; exact guard SKU not validated."
SKU,ACQUITY UPLC Peptide BEH C18 Column,186003554,"Peptide BEH C18 UPLC column, QC tested for peptide separations.","300 A; 1.7 um; 2.1 mm x 100 mm typical.","Peptide mapping; hydrophobic and hydrophilic peptides; low/high pH reversed phase.",Sign in to view Waters price,ACQUITY UPLC Peptide BEH C18,Reversed Phase,1.7 um,2.1 mm,100 mm,300 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,186004629,"ACQUITY UPLC Peptide BEH C18 VanGuard Pre-column, 300 A, 1.7 um, 2.1 mm x 5 mm, 3/pk",https://www.waters.com/nextgen/us/en/shop/columns/186004629-acquity-uplc-peptide-beh-c18-vanguard-pre-column-300a-17--m-21-m.html,,Matched,"Waters page states this VanGuard is designed/QC tested for peptide separations."
SKU,ACQUITY Premier Peptide CSH C18 Column,186009488,"MaxPeak Premier / CSH C18 peptide column for improved peak capacity and MS-compatible peptide separations.","130 A; 1.7 um; 2.1 mm x 100 mm typical; MaxPeak Premier hardware.","Peptide mapping, peptide impurities, LC/MS peptide separations.",Sign in to view Waters price,ACQUITY Premier Peptide CSH C18,Reversed Phase,1.7 um,2.1 mm,100 mm,130 A,MaxPeak Premier,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html",,Needs verification,"Use matching Premier peptide guard/FIT cartridge; exact guard SKU not validated."
SKU,ACQUITY UPLC Protein BEH SEC Column,186005225,"Protein BEH SEC UPLC column for size-based separation of proteins and aggregates.","200 A; 1.7 um; 4.6 mm x 150 mm typical.","Protein SEC, mAb aggregate/fragment analysis.",Sign in to view Waters price,ACQUITY UPLC Protein BEH SEC,SEC,1.7 um,4.6 mm,150 mm,200 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html",,Needs verification,"Match protein SEC guard by pore size and ID; exact guard SKU not validated in this pass."
SKU,ACQUITY UPLC Protein BEH C4 Column,186004495,"Protein BEH C4 UPLC column for reversed-phase separation of proteins.","300 A; 1.7 um; 2.1 mm x 50 mm typical.","Intact/subunit proteins; phosphorylated proteins; mAb subunits.",Sign in to view Waters price,ACQUITY UPLC Protein BEH C4,Reversed Phase,1.7 um,2.1 mm,50 mm,300 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html",,Needs verification,"Use matching Protein BEH C4 VanGuard if available; exact guard SKU not validated."
SKU,ACQUITY UPLC Glycan BEH Amide Column,186004742,"BEH Amide glycan column for released N-linked glycans.","130 A; 1.7 um; 2.1 mm x 150 mm typical.","Released labeled glycans with 2-AB, 2-AA, or RapiFluor-MS.",Sign in to view Waters price,ACQUITY UPLC Glycan BEH Amide,HILIC,1.7 um,2.1 mm,150 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html",,Needs verification,"Use matching Glycan BEH Amide VanGuard/pre-column; exact guard SKU not validated."
SKU,ACQUITY UPLC Oligonucleotide BEH C18 Column,186003949,"BEH C18 oligonucleotide column for ion-pair reversed-phase oligonucleotide analysis.","130 A; 1.7 um; 2.1 mm x 50 mm typical.","Detritylated oligonucleotides; ion-pair reversed phase.",Sign in to view Waters price,ACQUITY UPLC Oligonucleotide BEH C18,Reversed Phase,1.7 um,2.1 mm,50 mm,130 A,eCord UPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/acquity-uplc-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/maxpeak-premier-columns.html",,Needs verification,"Use matching oligonucleotide C18 guard/pre-column; exact guard SKU not validated."
SKU,XBridge BEH C18 Column,186003031,"BEH C18 HPLC column; universal workhorse for method development.","130 A; 3.5 um; 4.6 mm x 50 mm; pH 1-12.","HPLC method development, small molecules, food, environmental, pharmaceutical separations.",Contact Waters / not publicly listed,XBridge BEH C18,Reversed Phase,3.5 um,4.6 mm,50 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/shop/columns/186003031-xbridge-beh-c18-column-130a-35--m-46-mm-x-50-mm-1-pk.html,186003061,"XBridge BEH C18 Sentry Guard Cartridge, 130 A, 3.5 um, 4.6 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003061-xbridge-beh-c18-sentry-guard-cartridge-130a-35--m-46-mm-x-20-mm-.html,,Matched,"Same chemistry, pore, particle, and 4.6 mm Sentry guard format."
SKU,XBridge BEH C18 Column,186003034,"BEH C18 HPLC column; universal workhorse for method development.","130 A; 3.5 um; 4.6 mm x 150 mm; pH 1-12.","General HPLC reversed-phase method development.",Contact Waters / not publicly listed,XBridge BEH C18,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/in/en/shop/columns/186003034-xbridge-beh-c18-column-130a-35--m-46-mm-x-150-mm-1-pk.html,186003061,"XBridge BEH C18 Sentry Guard Cartridge, 130 A, 3.5 um, 4.6 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/shop/columns/186003061-xbridge-beh-c18-sentry-guard-cartridge-130a-35--m-46-mm-x-20-mm-.html,,Matched,"Same chemistry, pore, particle, and 4.6 mm Sentry guard format."
SKU,XBridge BEH C8 Column,186003043,"BEH C8 HPLC column with lower hydrophobicity than C18.","130 A; 3.5 um; 4.6 mm x 150 mm typical; pH 1-12.","Strongly hydrophobic compounds; less-retentive reversed-phase methods.",Contact Waters / not publicly listed,XBridge BEH C8,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html",,Needs verification,"Use matching XBridge BEH C8 Sentry guard by particle size and ID; exact guard SKU not validated."
SKU,XBridge BEH Shield RP18 Column,186003025,"BEH Shield RP18 HPLC column with embedded polar group and aqueous compatibility.","130 A; 3.5 um; 4.6 mm x 150 mm typical.","Basic analytes near neutral pH; alternate selectivity; 100% aqueous-compatible methods.",Contact Waters / not publicly listed,XBridge BEH Shield RP18,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html",,Needs verification,"Use matching XBridge Shield RP18 Sentry guard by particle size and ID."
SKU,XBridge BEH Phenyl Column,186003328,"BEH Phenyl HPLC column providing alternative selectivity to C18/C8.","130 A; 3.5 um; 4.6 mm x 150 mm typical.","Aromatic analytes and alternate reversed-phase selectivity.",Contact Waters / not publicly listed,XBridge BEH Phenyl,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html",,Needs verification,"Use matching XBridge BEH Phenyl Sentry guard by particle size and ID."
SKU,XBridge BEH Amide Column,186004870,"BEH Amide HPLC/HILIC column; chemically stable amide phase.","130 A; 3.5 um; 4.6 mm x 150 mm typical; pH 2-11.","Carbohydrates, sugars, and polar analytes in HILIC.",Contact Waters / not publicly listed,XBridge BEH Amide,HILIC,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,186006585,"XBridge BEH Amide Guard Column, 130 A, 5 um, 3.0 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,Needs verification,"Guard part number seen in distributor/indexed listing; confirm exact 3.5-um vs 5-um and holder compatibility with Waters."
SKU,XBridge BEH HILIC Column,186003113,"BEH HILIC HPLC column for strong polar basic compounds and HILIC selectivity.","130 A; 3.5 um; 4.6 mm x 150 mm typical; pH 1-9.","Polar basic compounds; HILIC method development.",Contact Waters / not publicly listed,XBridge BEH HILIC,HILIC,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xbridge-columns.html",,Needs verification,"Use matching XBridge BEH HILIC guard; exact guard SKU not validated."
SKU,XSelect CSH C18 Column,186005270,"CSH C18 HPLC column for general purpose reversed phase with alternate selectivity and improved peak shape for bases.","130 A; 3.5 um; 4.6 mm x 150 mm typical; pH 1-11.","Basic compounds, alternate C18 selectivity, small molecules.",Contact Waters / not publicly listed,XSelect CSH C18,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html,186005264,"XSelect CSH C18 Sentry Guard Cartridge, 130 A, 3.5 um, 4.6 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/shop/columns/186005264-xselect-csh-c18-sentry-guard-cartridge-130a-35--m-46-mm-x-20-mm-.html,,Matched,"Same chemistry, pore, particle, and 4.6 mm Sentry guard format."
SKU,XSelect CSH C18 Column,186005282,"CSH C18 HPLC column for general purpose reversed phase.","130 A; 5 um; 4.6 mm x 150 mm typical; pH 1-11.","Basic compounds and general reversed-phase HPLC.",Contact Waters / not publicly listed,XSelect CSH C18,Reversed Phase,5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html,186005285,"XSelect CSH C18 Sentry Guard Cartridge, 130 A, 5 um, 4.6 mm x 20 mm, 2/pk",https://www.waters.com/nextgen/us/en/shop/columns/186005285-xselect-csh-c18-sentry-guard-cartridge-130a-5--m-46-mm-x-20-mm-2.html,,Matched,"Same chemistry, pore, particle, and 4.6 mm Sentry guard format."
SKU,XSelect HSS T3 Column,186006547,"High-strength silica T3 HPLC column for polar and nonpolar compounds; aqueous-compatible.","100 A; 3.5 um; 4.6 mm x 150 mm typical.","Polar/nonpolar mixtures; increased polar retention; aqueous-compatible reversed phase.",Contact Waters / not publicly listed,XSelect HSS T3,Reversed Phase,3.5 um,4.6 mm,150 mm,100 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html",,Needs verification,"Use matching XSelect HSS T3 Sentry guard by particle size and ID; exact guard SKU not validated."
SKU,XSelect CSH Phenyl-Hexyl Column,186005406,"CSH Phenyl-Hexyl HPLC column with complementary selectivity to straight-chain alkyl phases.","130 A; 3.5 um; 4.6 mm x 150 mm typical.","Aromatic compounds, acidic/basic compounds, alternate selectivity.",Contact Waters / not publicly listed,XSelect CSH Phenyl-Hexyl,Reversed Phase,3.5 um,4.6 mm,150 mm,130 A,HPLC Column,No,1 pk,https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html,,,"https://www.waters.com/nextgen/us/en/products/columns/xselect-columns.html",,Needs verification,"Use matching XSelect CSH Phenyl-Hexyl Sentry guard; exact guard SKU not validated."
