Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column HALO Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,HALO 90 A HILIC,MULTIPLE,HILIC/normal-phase-compatible column for polar analytes.,"Particle sizes 2, 2.7, and 5 um.",Polar analytes poorly retained by reversed phase.,Varies / quote,HALO 90 A HILIC,HILIC / Normal Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-hilic/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A Penta-HILIC,MULTIPLE,Penta-HILIC phase for HILIC retention and peak shape.,"USP L95; particle sizes 2, 2.7, and 5 um; new 1.5 mm ID option.",Polar compounds poorly retained in RPLC; basic compounds in HILIC mode.,Varies / quote,HALO 90 A Penta-HILIC,HILIC,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-penta-hilic/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A Glycan,MULTIPLE,HILIC glycan analysis column.,HALO Glycan phase in 90 A Fused-Core format.,Glycan analysis and glycan mapping.,Varies / quote,HALO 90 A Glycan,HILIC,2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-glycan/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO PAH,MULTIPLE,PAH column designed for environmental analysis needs.,2.7 um Fused-Core; 90 A; analytical and guard formats.,Polycyclic aromatic hydrocarbon analysis.,Varies / quote,HALO PAH,Reversed Phase,2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-pah/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO PFAS C18,MULTIPLE,PFAS C18 analytical column designed for high-efficiency PFAS analysis.,2 and 2.7 um Fused-Core particle options.,EPA PFAS workflows and short-/long-chain PFAS analysis.,Varies / quote,HALO PFAS C18,Reversed Phase / PFAS,2 um; 2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-pfas/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO PFAS Delay,MULTIPLE,PFAS delay column optimized to delay instrument-derived background PFAS.,"2.7 um; 160 A; 4.6, 3.0, and 2.1 mm ID by 50 mm.",Installed upstream of sample injector for PFAS background delay; not a guard column for analyte column protection.,Varies / quote,HALO PFAS Delay,Delay Column / PFAS,2.7 um,,,160 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-pfas-delay/,,,,,Family/index row,Not an analytical guard; use alongside PFAS analytical columns.
Family,HALO 160 A ES-C18,MULTIPLE,Peptide-focused ES-C18 column.,"Particle sizes 2, 2.7, and 5 um; 160 A pore; INERT hardware options listed.","Tryptic digests, post-translational modifications, and polypeptides.",Varies / quote,HALO 160 A ES-C18,Reversed Phase / Peptide,2 um; 2.7 um; 5 um,,,160 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-160-a-es-c18/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 400 A C4,MULTIPLE,Wide-pore C4 protein column.,"3.4 um; 400 A pore; analytical, semi-prep, capillary, and INERT hardware options.",Large-protein and high-speed protein separations.,Varies / quote,HALO 400 A C4,Reversed Phase / Protein,3.4 um,,,400 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-400-a-c4/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 1000 A C4,MULTIPLE,Extra-wide-pore C4 protein column.,"2.7 um; 1000 A pore; analytical, semi-prep, capillary, and INERT hardware options.",mAb analysis and full characterization of large proteins.,Varies / quote,HALO 1000 A C4,Reversed Phase / Protein,2.7 um,,,1000 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-1000-a-c4/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO Elevate C18,MULTIPLE,High-pH/high-temperature stable C18 family.,Designed for high-pH separations with improved peak shape and reproducibility.,Basic compounds and high-pH/high-temperature method conditions.,Varies / quote,HALO Elevate C18,Reversed Phase,2 um; 2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/halo-elevate/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO 90 A LPH-C18,MULTIPLE,Low-pressure/high-flow C18 family listed on HALO 90 A product pages.,LPH-C18 product page includes C18-style analytical/guard rows.,General reversed phase where LPH hardware/flow characteristics are desired.,Varies / quote,HALO 90 A LPH-C18,Reversed Phase,2 um; 2.7 um; 5 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product/halo-90-a-lph-c18/,,,,,Family/index row,"Not an individual SKU; select the guard by exact phase, particle size, pore size, ID, and hardware."
Family,HALO C30,MULTIPLE,C30 phase designed for lipids and isomers compared with C18.,C30 brochure page; exact SKU list not visible in search snippet.,Lipid/isomer separations and alternate long-chain reversed-phase selectivity.,Varies / quote,HALO C30,Reversed Phase,2.7 um,,,90 A,Fused-Core particles; multiple hardware formats,No,,https://halocolumns.com/product-literature/c30-brochure/,,,,,Family/index row,Exact C30 SKU rows were not publicly exposed in the search snippet; use catalog/order page for SKU-level confirmation.
SKU,HALO 90 A C18 Column,92812-602,Universal C18 reversed-phase column.,2.7 um; 2.1 mm x 100 mm; 90 A,General LC/UHPLC C18 small molecule separations.,Add to Cart / Quote; no public price shown in page text,HALO 90 A C18,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-c18/,92812-102,"HALO 90 A C18, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-c18/,,Matched,"Same phase, particle size, pore, and ID; 5 mm guard row is listed on the product page."
SKU,HALO 90 A C18 Column,92814-702,Universal C18 reversed-phase column.,2.7 um; 4.6 mm x 150 mm; 90 A,General LC/HPLC C18 small molecule separations.,Add to Cart / Quote; no public price shown in page text,HALO 90 A C18,Reversed Phase,2.7 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-c18/,92814-102,"HALO 90 A C18, 2.7 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A C18 Guard Column 3pk,92812-102,Guard column for HALO 90 A C18 2.1 mm analytical columns.,2.7 um; 2.1 mm x 5 mm; 90 A,Guard/protection for 2.1 mm HALO C18 2.7 um columns.,Add to Cart / Quote; no public price shown in page text,HALO 90 A C18,Reversed Phase,2.7 um,2.1 mm,5 mm,90 A,Guard,Yes,1 Each,https://halocolumns.com/product/halo-90-a-c18/,92812-102,HALO 90 A C18 Guard Column 3pk,https://halocolumns.com/product/halo-90-a-c18/,,This row is a guard,This SKU is already the matching guard column.
SKU,HALO 90 A C8 Column,92812-608,Less-retentive C8 reversed-phase column.,2.7 um; 2.1 mm x 100 mm; 90 A,Broad analyte coverage; less retention than C18.,Add to Cart / Quote; no public price shown in page text,HALO 90 A C8,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-c8/,92812-108,"HALO 90 A C8, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-c8/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A C8 Column,95814-708,Less-retentive C8 reversed-phase column.,5 um; 4.6 mm x 150 mm; 90 A,Conventional HPLC C8 methods.,Add to Cart / Quote; no public price shown in page text,HALO 90 A C8,Reversed Phase,5 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-c8/,95814-108,"HALO 90 A C8, 5 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-c8/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A AQ-C18 Column,92812-622,Aqueous-compatible C18 column.,2.7 um; 2.1 mm x 100 mm; 90 A,Polar and nonpolar mixtures; aqueous-rich mobile phases.,Add to Cart / Quote; no public price shown in page text,HALO 90 A AQ-C18,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-aq-c18/,92812-122,"HALO 90 A AQ-C18, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-aq-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A AQ-C18 Column,95814-722,Aqueous-compatible C18 column.,5 um; 4.6 mm x 150 mm; 90 A,Aqueous-compatible conventional HPLC reversed phase.,Add to Cart / Quote; no public price shown in page text,HALO 90 A AQ-C18,Reversed Phase,5 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-aq-c18/,95814-122,"HALO 90 A AQ-C18, 5 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-aq-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A Biphenyl Column,92812-611,Biphenyl phase with pi-pi selectivity.,2.7 um; 2.1 mm x 100 mm; 90 A,"Aromatics, isomers, and alternate selectivity to alkyl phases.",Add to Cart / Quote; no public price shown in page text,HALO 90 A Biphenyl,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-biphenyl/,92812-111,"HALO 90 A Biphenyl, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-biphenyl/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A Biphenyl Column,95814-711,Biphenyl phase with pi-pi selectivity.,5 um; 4.6 mm x 150 mm; 90 A,Aromatic compounds in conventional HPLC.,Add to Cart / Quote; no public price shown in page text,HALO 90 A Biphenyl,Reversed Phase,5 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-biphenyl/,95814-111,"HALO 90 A Biphenyl, 5 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-biphenyl/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A PFP Column,92812-610,PFP phase for electron-rich/aromatic compounds.,2.7 um; 2.1 mm x 100 mm; 90 A,"Aromatics, halogenated compounds, polar compounds, and isomers.",Add to Cart / Quote; no public price shown in page text,HALO 90 A PFP,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-pfp/,,HALO PFP guard via same product family,,,Needs verification,Search confirmed PFP product page but did not expose the guard SKU rows in the snippet; use the part selector on the product page.
SKU,HALO 90 A Phenyl-Hexyl Column,92812-609,Phenyl-hexyl phase for pi-pi interactions.,2.7 um; 2.1 mm x 100 mm; 90 A,Aromatic compounds and alternate reversed-phase selectivity.,Add to Cart / Quote; no public price shown in page text,HALO 90 A Phenyl-Hexyl,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-phenyl-hexyl/,,HALO Phenyl-Hexyl guard via same product family,,,Needs verification,Search confirmed product page but did not expose full guard rows in the snippet; use the part selector on the product page.
SKU,HALO 90 A PCS Phenyl-Hexyl Column,91812-XXX,Positively charged surface phenyl-hexyl phase.,2 um; 2.1 mm x 100 mm; 90 A,Basic compounds and higher loading capacity; environmental PFAS workflows.,Add to Cart / Quote; no public price shown in page text,HALO 90 A PCS Phenyl-Hexyl,Reversed Phase,2 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-pcs-phenyl-hexyl/,,HALO PCS Phenyl-Hexyl guard via part selector,,,Needs verification,Specific SKU row not exposed in search result text; product family confirmed.
SKU,HALO 90 A RP-Amide Column,92812-607,RP-Amide phase with alternate selectivity.,2.7 um; 2.1 mm x 100 mm; 90 A,"Basic compounds including alcohols, acids, phenols, and catechins.",Add to Cart / Quote; no public price shown in page text,HALO 90 A RP-Amide,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-rp-amide/,92812-107,"HALO 90 A RP-Amide, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-rp-amide/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A RP-Amide Column,95814-707,RP-Amide conventional HPLC column.,5 um; 4.6 mm x 150 mm; 90 A,Basic compounds and alternate selectivity to alkyl phases.,Add to Cart / Quote; no public price shown in page text,HALO 90 A RP-Amide,Reversed Phase,5 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-rp-amide/,95814-107,"HALO 90 A RP-Amide, 5 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-90-a-rp-amide/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 90 A ES-CN Column,92812-606,ES-CN phase for polar analytes.,2.7 um; 2.1 mm x 100 mm; 90 A,Polar analytes and alternate selectivity to alkyl phases.,Add to Cart / Quote; no public price shown in page text,HALO 90 A ES-CN,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-es-cn/,,HALO ES-CN guard via same product family,,,Needs verification,Product family and particle sizes confirmed; exact guard row not exposed in search snippet.
SKU,HALO 90 A HILIC Column,92812-605,HILIC column for polar analytes.,2.7 um; 2.1 mm x 100 mm; 90 A,Polar analytes poorly retained by reversed phase.,Add to Cart / Quote; no public price shown in page text,HALO 90 A HILIC,HILIC,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-hilic/,,HALO HILIC guard via same product family,,,Needs verification,Product family confirmed; exact guard row not exposed in snippet.
SKU,HALO 90 A Penta-HILIC Column,92812-705,Penta-HILIC phase.,2.7 um; 2.1 mm x 150 mm; 90 A,Polar compounds poorly retained in RPLC; excellent peak shape for basic compounds.,Add to Cart / Quote; no public price shown in page text,HALO 90 A Penta-HILIC,HILIC,2.7 um,2.1 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-penta-hilic/,,HALO Penta-HILIC guard via product selector,,,Needs verification,Penta-HILIC product page confirms USP L95 and particle sizes; exact guard SKU not exposed in snippet.
SKU,HALO 90 A Glycan Column,92812-701,HILIC glycan analysis column.,2.7 um; 2.1 mm x 150 mm; 90 A,Glycan mapping and complex glycan mixtures.,Add to Cart / Quote; no public price shown in page text,HALO 90 A Glycan,HILIC,2.7 um,2.1 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-90-a-glycan/,,HALO Glycan guard via product selector,,,Needs verification,Glycan product family confirmed; exact guard SKU not exposed in snippet.
SKU,HALO PAH Column,92842-612,PAH analytical column.,2.7 um; 2.1 mm x 100 mm; 90 A,Environmental PAH analysis.,Add to Cart / Quote; no public price shown in page text,HALO PAH,Reversed Phase,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-pah/,92842-112,"HALO 90 A PAH, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-pah/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO PAH Column,92844-712,PAH analytical column.,2.7 um; 4.6 mm x 150 mm; 90 A,Environmental PAH analysis.,Add to Cart / Quote; no public price shown in page text,HALO PAH,Reversed Phase,2.7 um,4.6 mm,150 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-pah/,92844-112,"HALO 90 A PAH, 2.7 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-pah/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO PFAS C18 Column,92812-613,PFAS C18 analytical column.,2.7 um; 2.1 mm x 100 mm; 90 A,EPA PFAS workflows and short-/long-chain PFAS analysis.,Add to Cart / Quote; no public price shown in page text,HALO PFAS C18,Reversed Phase / PFAS,2.7 um,2.1 mm,100 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-pfas/,,No HALO PFAS guard visible in source snippet,,,Needs verification,"PFAS analytical page lists analytical columns but no guard rows in scraped snippet; use HALO PFAS Delay as upstream delay column, not a protective guard."
SKU,HALO PFAS C18 Column,91812-413,PFAS C18 analytical column.,2 um; 2.1 mm x 50 mm; 90 A,High-efficiency PFAS analysis.,Add to Cart / Quote; no public price shown in page text,HALO PFAS C18,Reversed Phase / PFAS,2 um,2.1 mm,50 mm,90 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-pfas/,,No HALO PFAS guard visible in source snippet,,,Needs verification,PFAS analytical page lists analytical columns but no guard rows in scraped snippet.
SKU,HALO PFAS Delay Column,92112-415,PFAS delay column for background PFAS contamination mitigation.,2.7 um; 2.1 mm x 50 mm; 160 A,Upstream delay column for instrument-derived PFAS contamination.,Add to Cart / Quote; no public price shown in page text,HALO PFAS Delay,PFAS Delay,2.7 um,2.1 mm,50 mm,160 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-pfas-delay/,,Not applicable,,,Not a protective guard,Delay column is used upstream of the injector and should not be treated as the analytical-column guard.
SKU,HALO 160 A ES-C18 Column,92122-602,Peptide-focused ES-C18 column.,2.7 um; 2.1 mm x 100 mm; 160 A,"Tryptic digests, PTMs, and polypeptides.",Add to Cart / Quote; no public price shown in page text,HALO 160 A ES-C18,Reversed Phase / Peptide,2.7 um,2.1 mm,100 mm,160 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-160-a-es-c18/,92122-102,"HALO 160 A ES-C18, 2.7 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-160-a-es-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 160 A ES-C18 Column,91122-602,Peptide-focused ES-C18 column.,2 um; 2.1 mm x 100 mm; 160 A,"UHPLC peptide separations, tryptic digests, PTMs.",Add to Cart / Quote; no public price shown in page text,HALO 160 A ES-C18,Reversed Phase / Peptide,2 um,2.1 mm,100 mm,160 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-160-a-es-c18/,91122-102,"HALO 160 A ES-C18, 2 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-160-a-es-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 160 A ES-C18 Column,95124-702,Peptide-focused ES-C18 conventional HPLC column.,5 um; 4.6 mm x 150 mm; 160 A,Peptides and polypeptides.,Add to Cart / Quote; no public price shown in page text,HALO 160 A ES-C18,Reversed Phase / Peptide,5 um,4.6 mm,150 mm,160 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-160-a-es-c18/,95124-102,"HALO 160 A ES-C18, 5 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-160-a-es-c18/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 160 A ES-C18 INERT Column,P2122-602,INERT hardware ES-C18 peptide column.,2.7 um; 2.1 mm x 100 mm; 160 A,Peptide separations where inert hardware is needed.,Add to Cart / Quote; no public price shown in page text,HALO 160 A ES-C18 INERT,Reversed Phase / Peptide,2.7 um,2.1 mm,100 mm,160 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-160-a-es-c18/,,INERT-compatible guard not confirmed,,,Needs verification - INERT hardware,Analytical INERT rows are listed; matching guard should preserve INERT flow path if required.
SKU,HALO 400 A C4 Column,93412-614,Wide-pore C4 protein column.,3.4 um; 2.1 mm x 100 mm; 400 A,Large-protein and high-speed protein separations.,Add to Cart / Quote; no public price shown in page text,HALO 400 A C4,Reversed Phase / Protein,3.4 um,2.1 mm,100 mm,400 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-400-a-c4/,93412-114,"HALO 400 A C4, 3.4 um, 2.1 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-400-a-c4/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 400 A C4 Column,93414-714,Wide-pore C4 protein column.,3.4 um; 4.6 mm x 150 mm; 400 A,Large-protein separations.,Add to Cart / Quote; no public price shown in page text,HALO 400 A C4,Reversed Phase / Protein,3.4 um,4.6 mm,150 mm,400 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-400-a-c4/,93414-114,"HALO 400 A C4, 3.4 um, 4.6 x 5 mm, Guard Column 3pk",https://halocolumns.com/product/halo-400-a-c4/,,Matched,"Same phase, particle size, pore, and ID."
SKU,HALO 400 A C4 INERT Column,P3412-614,INERT hardware wide-pore C4 protein column.,3.4 um; 2.1 mm x 100 mm; 400 A,Protein separations where inert hardware is needed.,Add to Cart / Quote; no public price shown in page text,HALO 400 A C4 INERT,Reversed Phase / Protein,3.4 um,2.1 mm,100 mm,400 A,Analytical,No,1 Each,https://halocolumns.com/product/halo-400-a-c4/,,INERT-compatible guard not confirmed,,,Needs verification - INERT hardware,INERT analytical rows are listed; confirm guard/hardware compatibility before ordering.
