Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware/Format,Guard Column,Unit,Source URL,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Phenomenex Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,Rezex Ion Exclusion Columns,MULTIPLE,"Ion-exclusion and ligand-exchange columns for organic acids, sugars, carbohydrates and alcohols.","Common 8 um resin; 300 x 7.8 mm analytical and 50 x 7.8 mm guard formats.","Organic acids, sugars, carbohydrates, alcohols, fruit/fermentation matrices.",Varies,Rezex,Ion Exclusion / Ligand Exchange,8 um,7.8 mm,"300 mm analytical; 50 mm guards",,Polymeric resin,No,,https://www.phenomenex.com/products/rezex-hplc-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use matching Rezex guard column by exact resin/ion form."
Family,Lux Polysaccharide Chiral Columns,MULTIPLE,"Polysaccharide chiral LC columns for enantiomeric separations in normal phase, reversed phase, polar organic and SFC modes.","Cellulose and amylose selectors; common 3 and 5 um; 1000 A pore size.","Chiral separations, enantiomers, racemic mixtures, SFC/LC chiral screens.",Varies,Lux,Chiral,"3 or 5 um",Multiple,Multiple,1000 A,Chiral polysaccharide,No,,https://www.phenomenex.com/products/lux-polysaccharide-chiral-column,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Family/index row,"Use Lux-specific guard if available; exact selector and solvent mode matter."
Family,SecurityGuard Column Protection,MULTIPLE,"Phenomenex SecurityGuard systems protect LC columns from particulates/contaminants; Phenomenex publishes a GuardFinder tool.","SecurityGuard HPLC cartridges, SecurityGuard ULTRA UHPLC cartridges, PREP holders and application-specific guards.","Column protection and extending column lifetime.",Varies,SecurityGuard,Guard / Column Protection,Multiple,Multiple,Multiple,Multiple,HPLC/UHPLC/PREP guard hardware,Yes,,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,,,,https://www.phenomenex.com/resources/webtools/security-guard-selection,Selector row,"Use the GuardFinder for any row marked needs verification."
SKU,Kinetex 2.6 um C18 100 A LC Column,00D-4462-E0,Core-shell C18 reversed-phase LC column.,"100 x 4.6 mm; 2.6 um; 100 A; pH 1.5-8.5; 1034 bar max; 60 C max.",All-purpose hydrophobic retention and methylene selectivity; general UHPLC/HPLC small molecules.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4462-e0,AJ0-8782,"SecurityGuard ULTRA C18 cartridge for UHPLC/C18 columns, 3/pk",https://www.phenomenex.com/part/aj0-8782,https://www.phenomenex.com/part/aj0-9000,Phase-family match; verify ID,"SecurityGuard ULTRA C18 is phase-matched; use GuardFinder to confirm 4.6 mm/core-shell setup."
SKU,Kinetex 2.6 um C18 100 A LC Column,00F-4462-E0,Core-shell C18 reversed-phase LC column.,"150 x 4.6 mm; 2.6 um; 100 A; pH 1.5-8.5; 1034 bar max; 60 C max.",All-purpose hydrophobic retention; general UHPLC/HPLC small molecules.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,150 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00f-4462-e0,AJ0-8782,"SecurityGuard ULTRA C18 cartridge for UHPLC/C18 columns, 3/pk",https://www.phenomenex.com/part/aj0-8782,https://www.phenomenex.com/part/aj0-9000,Phase-family match; verify ID,"SecurityGuard ULTRA C18 is phase-matched; use GuardFinder to confirm 4.6 mm/core-shell setup."
SKU,Kinetex 2.6 um C18 100 A LC Column,00D-4462-AN,Core-shell C18 reversed-phase LC column.,"100 x 2.1 mm; 2.6 um; 100 A; pH 1.5-8.5; 1034 bar max; 60 C max.",UHPLC/HPLC small molecule methods; LC/MS-friendly 2.1 mm format.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,2.1 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4462-an,AJ0-8782,"SecurityGuard ULTRA C18 cartridge for UHPLC/C18 columns, 3/pk",https://www.phenomenex.com/part/aj0-8782,https://www.phenomenex.com/part/aj0-9000,Matched by phase/ID,"C18 SecurityGuard ULTRA cartridge is the appropriate phase family for 2.1 mm Kinetex C18."
SKU,Kinetex 2.6 um XB-C18 100 A LC Column,00D-4496-E0,Core-shell extra-dense bonded C18 phase.,"100 x 4.6 mm; 2.6 um; 100 A.",Hydrophobic retention and low-pH reversed-phase methods; alternate selectivity vs C18.,$1,058.00 USD,Kinetex,Reversed Phase,2.6 um,4.6 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4496-e0,AJ0-8782,"SecurityGuard ULTRA C18 cartridge, 3/pk",https://www.phenomenex.com/part/aj0-8782,https://www.phenomenex.com/part/aj0-9000,Phase-family match; verify,"Use C18-family guard unless GuardFinder recommends XB-C18-specific media."
SKU,Kinetex 2.6 um PS C18 100 A LC Column,00D-4780-E0,Positive-surface C18 core-shell column for unique selectivity and basic-compound peak shape.,"100 x 4.6 mm; 2.6 um; 100 A; 100% aqueous compatible.",Basic compounds, polar/aqueous reversed-phase methods, alternate selectivity.,$1,058.00 USD,Kinetex,Reversed Phase,2.6 um,4.6 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4780-e0,,SecurityGuard PS C18 or phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use GuardFinder because PS C18 has surface-modified selectivity."
SKU,Kinetex 2.6 um PS C18 100 A LC Column,00F-4780-E0,Positive-surface C18 core-shell column for basic-compound peak shape.,"150 x 4.6 mm; 2.6 um; 100 A.",Basic compounds, polar/aqueous reversed-phase methods.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,150 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00f-4780-e0,,SecurityGuard PS C18 or phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use GuardFinder because PS C18 has surface-modified selectivity."
SKU,Kinetex 2.6 um Biphenyl 100 A LC Column,00F-4622-E0,Core-shell biphenyl reversed-phase column with hydrophobic, aromatic and polar selectivity.,"150 x 4.6 mm; 2.6 um; 100 A; pH 1.5-8.5; 1034 bar max.",Aromatic analytes, isomers, enhanced polar selectivity, 100% aqueous stable methods.,$1,125.00 USD,Kinetex,Reversed Phase,2.6 um,4.6 mm,150 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00f-4622-e0,,SecurityGuard Biphenyl / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"SecurityGuard page lists Biphenyl as a selectable phase; exact cartridge part number should be confirmed."
SKU,Kinetex 2.6 um F5 100 A LC Column,00F-4723-E0,Core-shell pentafluorophenylpropyl phase.,"150 x 4.6 mm; 2.6 um; 100 A; pH 1.5-8.5; 1034 bar max.",Halogenated, conjugated, isomeric, or highly polar compounds.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,150 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00f-4723-e0,,SecurityGuard F5 / PFP-family guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"SecurityGuard page lists F5/PFP-related phases; confirm exact guard phase."
SKU,Kinetex 2.6 um PFP 100 A LC Column,00D-4477-E0,Core-shell pentafluorophenyl phase.,"100 x 4.6 mm; 2.6 um; 100 A.",Positional isomers, halogenated analytes, polar analytes and alternate selectivity.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4477-e0,,SecurityGuard PFP / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Confirm exact PFP guard cartridge in GuardFinder."
SKU,Kinetex 2.6 um Phenyl-Hexyl 100 A LC Column,00F-4495-E0,Core-shell phenyl-hexyl reversed-phase column.,"150 x 4.6 mm; 2.6 um; 100 A; USP L11.",Aromatic compounds and alternate reversed-phase selectivity.,Sign in to view country-specific pricing,Kinetex,Reversed Phase,2.6 um,4.6 mm,150 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00f-4495-e0,,SecurityGuard Phenyl-Hexyl / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"SecurityGuard page lists Phenyl-Hexyl; confirm exact cartridge part."
SKU,Kinetex 2.6 um HILIC 100 A LC Column,00D-4461-E0,Core-shell HILIC column.,"100 x 4.6 mm; 2.6 um; 100 A.",Polar compounds under HILIC conditions.,Sign in to view country-specific pricing,Kinetex,HILIC,2.6 um,4.6 mm,100 mm,100 A,Core-shell silica,No,Ea,https://www.phenomenex.com/part/00d-4461-e0,,SecurityGuard HILIC / Core-Shell HILIC via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use HILIC phase-matched guard and verify solvent compatibility."
SKU,SecurityGuard ULTRA C18 Cartridges for UHPLC C18 Columns,AJ0-8782,UHPLC C18 guard cartridges for column protection.,"2 x 2.1 mm ID cartridges; 3/pk.",Guard protection for UHPLC C18 / core-shell columns.,$582.00 USD,SecurityGuard,Guard / Reversed Phase,N/A,2.1 mm,2 mm,,SecurityGuard ULTRA cartridge,Yes,Ea,https://www.phenomenex.com/part/aj0-8782,AJ0-8782,SecurityGuard ULTRA C18 Cartridges for UHPLC C18 Columns,https://www.phenomenex.com/part/aj0-8782,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,SecurityGuard C18 Cartridges for HPLC C18 Columns,AJ0-4287,HPLC SecurityGuard cartridges for C18 columns.,"4 x 3.0 mm ID cartridges; 10/pk.",Guard protection for 3.2-8.0 mm ID C18 HPLC columns.,$557.00 USD,SecurityGuard,Guard / Reversed Phase,N/A,3.0 mm,4 mm,,SecurityGuard cartridge,Yes,Ea,https://www.phenomenex.com/part/aj0-4287,AJ0-4287,SecurityGuard C18 Cartridges for HPLC C18 Columns,https://www.phenomenex.com/part/aj0-4287,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,SecurityGuard C8 Cartridges for HPLC C8 Columns,AJ0-4290,HPLC SecurityGuard cartridges for C8 columns.,"4 x 3.0 mm ID cartridges; 10/pk.",Guard protection for C8 HPLC columns.,$557.00 USD,SecurityGuard,Guard / Reversed Phase,N/A,3.0 mm,4 mm,,SecurityGuard cartridge,Yes,Ea,https://www.phenomenex.com/part/aj0-4290,AJ0-4290,SecurityGuard C8 Cartridges for HPLC C8 Columns,https://www.phenomenex.com/part/aj0-4290,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,SecurityGuard C5 Cartridges for HPLC C5 Columns,AJ0-4293,HPLC SecurityGuard cartridges for C5 columns.,"4 x 3.0 mm ID cartridges; 10/pk.",Guard protection for C5 HPLC columns.,Sign in to view country-specific pricing,SecurityGuard,Guard / Reversed Phase,N/A,3.0 mm,4 mm,,SecurityGuard cartridge,Yes,Ea,https://www.phenomenex.com/part/aj0-4293,AJ0-4293,SecurityGuard C5 Cartridges for HPLC C5 Columns,https://www.phenomenex.com/part/aj0-4293,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,Luna 3 um C18 100 A LC Column,00F-4114-E0,Ultra-pure silica C18 HPLC column.,"150 x 4.6 mm; 3 um; 100 A.",General reversed-phase HPLC and USP methods requiring C18 selectivity.,$1,486.00 USD,Luna,Reversed Phase,3 um,4.6 mm,150 mm,100 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4114-e0,AJ0-4287,"SecurityGuard C18 cartridges, 4 x 3.0 mm ID, 10/pk",https://www.phenomenex.com/part/aj0-4287,https://www.phenomenex.com/part/kj0-4282,Matched by phase/ID,"C18 4 x 3.0 mm SecurityGuard is appropriate for conventional 4.6 mm ID HPLC C18 columns; verify particle/phase in GuardFinder."
SKU,Luna 5 um C18 100 A LC Column,00F-4041-E0,Ultra-pure silica C18 HPLC column.,"150 x 4.6 mm; 5 um; 100 A.",Routine reversed-phase HPLC; validated/legacy methods.,Sign in to view country-specific pricing,Luna,Reversed Phase,5 um,4.6 mm,150 mm,100 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4041-e0,AJ0-4287,"SecurityGuard C18 cartridges, 4 x 3.0 mm ID, 10/pk",https://www.phenomenex.com/part/aj0-4287,https://www.phenomenex.com/part/kj0-4282,Matched by phase/ID,"C18 4 x 3.0 mm SecurityGuard is appropriate for conventional 4.6 mm ID HPLC C18 columns; verify in GuardFinder."
SKU,Luna 5 um C18(2) 100 A PEEK LC Column,00F-4252-E0-BV,PEEK-hardware Luna C18(2) column for biocompatible flow paths.,"150 x 4.6 mm; 5 um; 100 A; PEEK hardware; pH 1.5-9.",General LC method development; biocompatible/metal-sensitive workflows.,Sign in to view country-specific pricing,Luna,Reversed Phase,5 um,4.6 mm,150 mm,100 A,PEEK HPLC column,No,Ea,https://www.phenomenex.com/part/00f-4252-e0-bv,AJ0-4287,"SecurityGuard C18 cartridges, 4 x 3.0 mm ID, 10/pk",https://www.phenomenex.com/part/aj0-4287,https://www.phenomenex.com/part/kj0-4282,Phase match; verify biocompatibility,"Confirm holder/flow-path compatibility if PEEK/biocompatibility is required."
SKU,Luna Omega 3 um Polar C18 100 A LC Column,00F-4760-E0,Polar-retentive C18 phase for hydrophobic and polar compounds.,"150 x 4.6 mm; 3 um; 100 A.",HPLC/UHPLC separations of hydrophobic and polar compounds; alternate selectivity.,$1,126.00 USD,Luna Omega,Reversed Phase,3 um,4.6 mm,150 mm,100 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4760-e0,,SecurityGuard Polar C18 / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"SecurityGuard page lists Fully Porous Polar C18; confirm exact cartridge part."
SKU,Luna Omega 5 um PS C18 100 A LC Column,00F-4753-E0,Positive-surface C18 phase for improved peak shape and selectivity.,"150 x 4.6 mm; 5 um; 100 A.",Basic compounds, polar/hydrophobic compounds, aqueous methods.,Sign in to view country-specific pricing,Luna Omega,Reversed Phase,5 um,4.6 mm,150 mm,100 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4753-e0,,SecurityGuard PS C18 / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Use GuardFinder for surface-modified phase."
SKU,Gemini 5 um C18 110 A LC Column,00F-4435-E0,pH-flexible Gemini C18 HPLC column.,"150 x 4.6 mm; 5 um; 110 A; pH 1-12; USP L1.",Basic compounds under high pH; rugged reversed-phase methods.,Sign in to view country-specific pricing,Gemini,Reversed Phase,5 um,4.6 mm,150 mm,110 A,Hybrid silica,No,Ea,https://www.phenomenex.com/part/00f-4435-e0,AJ0-4287,"SecurityGuard C18 cartridges, 4 x 3.0 mm ID, 10/pk",https://www.phenomenex.com/part/aj0-4287,https://www.phenomenex.com/part/kj0-4282,Phase match; verify pH range,"C18 guard is phase-matched; verify high-pH compatibility and exact Gemini phase in GuardFinder."
SKU,Gemini 5 um NX-C18 110 A LC Column,00F-4454-E0,pH-flexible Gemini NX-C18 column.,"150 x 4.6 mm; 5 um; 110 A; pH 1-12; USP L1.",High-efficiency separations under extreme pH conditions.,$1,339.00 USD,Gemini,Reversed Phase,5 um,4.6 mm,150 mm,110 A,Hybrid silica,No,Ea,https://www.phenomenex.com/part/00f-4454-e0,,SecurityGuard Gemini NX-C18 / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Use Gemini NX-C18-specific guard if listed; verify via GuardFinder."
SKU,Gemini 5 um C6-Phenyl 110 A LC Column,00F-4444-E0,pH-flexible phenyl chemistry.,"150 x 4.6 mm; 5 um; 110 A.",Aromatic, polar or basic compounds under high pH conditions.,Sign in to view country-specific pricing,Gemini,Reversed Phase,5 um,4.6 mm,150 mm,110 A,Hybrid silica,No,Ea,https://www.phenomenex.com/part/00f-4444-e0,,SecurityGuard Gemini C6-Phenyl / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Confirm exact phenyl guard cartridge."
SKU,Synergi 4 um Hydro-RP 80 A LC Column,00F-4375-E0,Aqueous-stable Hydro-RP phase.,"150 x 4.6 mm; 4 um; 80 A.",Weakly hydrophobic compounds; 100% aqueous-stable reversed phase.,$1,146.00 USD,Synergi,Reversed Phase,4 um,4.6 mm,150 mm,80 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4375-e0,,SecurityGuard Hydro-RP / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Use Hydro-RP phase if available; verify exact guard with GuardFinder."
SKU,Synergi 4 um Polar-RP 80 A LC Column,00F-4336-E0,Polar-RP phase for polar/aromatic compounds.,"150 x 4.6 mm; 4 um; 80 A.",Polar and aromatic compounds; alternate reversed-phase selectivity.,$1,146.00 USD,Synergi,Reversed Phase,4 um,4.6 mm,150 mm,80 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4336-e0,,SecurityGuard Polar-RP / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Use Polar-RP phase if available; verify exact guard with GuardFinder."
SKU,Synergi 4 um Max-RP 80 A LC Column,00F-4337-E0,Max-RP phase for bases under neutral pH.,"150 x 4.6 mm; 4 um; 80 A.",Basic compounds under neutral pH.,$1,146.00 USD,Synergi,Reversed Phase,4 um,4.6 mm,150 mm,80 A,Fully porous silica,No,Ea,https://www.phenomenex.com/part/00f-4337-e0,,SecurityGuard Max-RP / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/kj0-4282,Needs verification,"Use Max-RP phase if available; verify exact guard with GuardFinder."
SKU,bioZen 2.6 um Peptide XB-C18 LC Column,00D-4768-AN,Bioseparation C18 peptide column.,"100 x 2.1 mm; 2.6 um; 100 A; pH 1.5-9; 1034 bar max.",Peptide mapping and peptide quantitation; acidic/basic peptides.,Sign in to view country-specific pricing,bioZen,Reversed Phase,2.6 um,2.1 mm,100 mm,100 A,Bio LC column,No,Ea,https://www.phenomenex.com/part/00d-4768-an,AJ0-9806,"SecurityGuard ULTRA cartridges, bioZen Peptide XB-C18 2.1 mm ID columns, 3/pk",https://www.phenomenex.com/part/aj0-9806,https://www.phenomenex.com/part/aj0-9000,Matched by family/phase,"Phenomenex lists bioZen Peptide XB-C18 SecurityGuard ULTRA cartridges for 2.1 mm ID columns."
SKU,bioZen 2.6 um Peptide XB-C18 LC Column,00F-4768-AN,Bioseparation C18 peptide column.,"150 x 2.1 mm; 2.6 um; 100 A.",Peptide mapping and peptide quantitation.,Sign in to view country-specific pricing,bioZen,Reversed Phase,2.6 um,2.1 mm,150 mm,100 A,Bio LC column,No,Ea,https://www.phenomenex.com/part/00f-4768-an,AJ0-9806,"SecurityGuard ULTRA cartridges, bioZen Peptide XB-C18 2.1 mm ID columns, 3/pk",https://www.phenomenex.com/part/aj0-9806,https://www.phenomenex.com/part/aj0-9000,Matched by family/phase,"Phenomenex lists bioZen Peptide XB-C18 SecurityGuard ULTRA cartridges for 2.1 mm ID columns."
SKU,SecurityGuard ULTRA Cartridges for bioZen Peptide XB-C18 2.1 mm Columns,AJ0-9806,bioZen Peptide XB-C18 guard cartridges.,"For bioZen Peptide XB-C18 2.1 mm ID columns; 3/pk.",Guard protection for bioZen Peptide XB-C18 columns.,Sign in to view country-specific pricing,bioZen / SecurityGuard,Guard / Reversed Phase,,2.1 mm,,,SecurityGuard ULTRA cartridge,Yes,Ea,https://www.phenomenex.com/part/aj0-9806,AJ0-9806,SecurityGuard ULTRA Cartridges for bioZen Peptide XB-C18 2.1 mm Columns,https://www.phenomenex.com/part/aj0-9806,,This row is a guard,"This SKU is already a guard column/cartridge; link points to itself."
SKU,bioZen 2.6 um WidePore C4 LC Column,00F-4786-AN,WidePore C4 bioseparation column.,"150 x 2.1 mm; 2.6 um; 400 A; 861 bar max.",Intact and subunit protein analysis; high reproducibility/resolution.,Sign in to view country-specific pricing,bioZen,Reversed Phase,2.6 um,2.1 mm,150 mm,400 A,Bio LC column,No,Ea,https://www.phenomenex.com/part/00f-4786-an,,SecurityGuard bioZen WidePore C4 / phase-matched guard via GuardFinder,https://www.phenomenex.com/products/securityguard-lc-guard-cartridge-system,https://www.phenomenex.com/part/aj0-9000,Needs verification,"Use bioZen WidePore C4 phase if available; confirm exact part."
