Row Type,Model/Name,Part Number,Description,Specs,Application,Price,Product Family,Separation Mode,Particle Size,Inner Diameter (ID),Length,Pore Size,Hardware,Guard Column,Unit,Agilent Page SKU Count,Source URL,Completeness Note,Matching Guard Column Part Number,Matching Guard Column Name,Matching Guard Column Agilent Link,Guard Holder / Hardware Link,Guard Match Status,Guard Matching Notes
Family,PL-SAX Anion-Exchange HPLC Columns for Biomolecules,MULTIPLE,Strong anion-exchange polymeric columns and media for biomolecules.,Fully porous PS/DVB; 1000 and 4000 A; stable pH 1-14.,"Oligonucleotides, proteins, acidic proteins, peptides; analytical to preparative purification.",Varies,PL-SAX,Anion Exchange (SAX),5 um; 8 um; 10 um; 30 um,,,1000 A; 4000 A,SS or bulk media,,1 Each,51,https://www.agilent.com/en/product/biopharma-hplc-analysis/charge-variant-analysis/pl-sax-for-biomolecules,Agilent page reports 51 results; first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,PLRP-S for Biomolecules HPLC Columns,MULTIPLE,Polymeric reversed-phase PS/DVB columns and bulk media.,Particle sizes 3-50 um; pore sizes 100-4000 A; pH 1-14.,"Small molecules, peptides, proteins, oligonucleotides, macromolecules; analytical and prep.",Varies,PLRP-S,Reversed Phase,3-50 um,,,100-4000 A,,,1 Each,142,https://www.agilent.com/en/product/biopharma-hplc-analysis/intact-subunit-analysis/plrp-s-for-biomolecules,Agilent page reports 142 results; first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,Bio SEC-5 HPLC Bio Columns,MULTIPLE,5 um silica SEC columns with hydrophilic coating for peptide/protein/large biotherapeutic analysis.,"100, 150, 300, 500, 1000, and 2000 A pore sizes.",Aggregate/fragment analysis and preparative SEC for biological samples.,Varies,Bio SEC-5,Size Exclusion (SEC),5 um,,,100-2000 A,,,1 Each,48,https://www.agilent.com/en/product/biopharma-hplc-analysis/aggregate-fragment-analysis/agilent-bio-sec-5,Agilent page reports 48 results; representative first-page rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,PL aquagel-OH GPC/SEC Columns,MULTIPLE,Aqueous GPC/SEC columns for water-soluble polymers and larger molecules.,8 um; pH 2-10; up to 90 C; supports aqueous eluents and up to 50% methanol.,"Synthetic polymers, starches, polysaccharides, PEG, dextran, acrylamide, water-soluble polymers.",Varies,PL aquagel-OH,Aqueous GPC/SEC,8 um,7.5 or 25 mm,300 mm,,,,1 Each,24,https://www.agilent.com/en/product/gpc-sec-columns-standards/aqueous-gpc-sec-columns/pl-aquagel-oh,Agilent page reports 24 results; representative rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,PLgel Olexis GPC Columns,MULTIPLE,High-temperature organic GPC/SEC columns optimized for very high molecular weight polymers.,13 um; 7.5 mm ID; 300 mm analytical and 50 mm guard; up to 220 C.,"Polyolefins, polyethylene, polypropylene, high-performance polymers.",Varies,PLgel Olexis,Organic GPC/SEC,13 um,7.5 mm,50 or 300 mm,,,Yes/No,1 Each,2,https://www.agilent.com/en/product/gpc-sec-columns-standards/organic-gpc-sec-columns/plgel-olexis,Agilent page reports 2 results; all visible rows included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,PolarGel Columns,MULTIPLE,Organic GPC/SEC columns for polar polymers in polar organic solvents.,8 um PL PolarGel-M family; 7.5 mm ID.,"Polar polymers in DMF, DMSO, NMP, DMAc, and water/organic mixtures.",Varies,PolarGel,Organic GPC/SEC,8 um,7.5 mm,,,,,1 Each,7,https://www.agilent.com/en/product/gpc-sec-columns-standards/organic-gpc-sec-columns/polargel,"Agilent page reports 7 results, but public snippet did not expose individual rows/prices.",,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
Family,PL Rapide Aqua SEC Columns,MULTIPLE,Wide-diameter aqueous SEC columns for high speed/resolution on older systems.,8 um; 10 x 100 mm examples.,Aqueous SEC of macromolecules on older systems with high dead volumes.,Varies,PL Rapide Aqua,Aqueous GPC/SEC,8 um,10 mm,100 mm,,,,1 Each,4,https://www.agilent.com/en/product/gpc-sec-columns-standards/aqueous-gpc-sec-columns/pl-rapide-aqua,Agilent page reports 4 results; only first visible row included.,,,,,Family/index row,"Not an individual SKU; select a guard from the matching family, phase, particle, pore size, ID, and hardware."
SKU,Altura Poroshell 120 PFAS HPLC Column,227215-007,PFAS column for reliable retention and peak shape for ultra-short to long-chain PFAS.,2.1 mm x 150 mm; 2.7 um,"PFAS analysis in environmental/drinking water, LC/MS workflows.","1,705.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase / PFAS,2.7 um,2.1 mm,150 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Phase-family match; verify PFAS method,Agilent publishes Aq-C18 UHPLC guards that can be used for PFAS analysis; the PFAS delay column is not a guard column.
SKU,Altura Poroshell 120 PFAS HPLC Column,227205-007,PFAS column for reliable retention and peak shape for ultra-short to long-chain PFAS.,2.1 mm x 50 mm; 2.7 um,"PFAS analysis in environmental/drinking water, LC/MS workflows.","1,236.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase / PFAS,2.7 um,2.1 mm,50 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Phase-family match; verify PFAS method,Agilent publishes Aq-C18 UHPLC guards that can be used for PFAS analysis; the PFAS delay column is not a guard column.
SKU,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3/pk",821725-955,Guard column for Aq-C18 analytical columns; can be used for PFAS analysis.,2.1 mm x 5 mm; 2.7 um,Guard/protection for Aq-C18 methods.,852.00 USD,InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,2.1 mm,5 mm,120 A,,Yes,3 Pack,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,695775-742,Aq-C18 column stable in 100% aqueous phases; retains polar and nonpolar compounds.,2.1 mm x 100 mm; 2.7 um,"Complex mixtures, polar/nonpolar compounds, PFAS-capable.","1,096.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,2.1 mm,100 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Matched,
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,693775-742,Aq-C18 column stable in 100% aqueous phases; retains polar and nonpolar compounds.,2.1 mm x 150 mm; 2.7 um,"Complex mixtures, polar/nonpolar compounds.","1,233.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,2.1 mm,150 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Matched,
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,691775-742,Aq-C18 short analytical column.,2.1 mm x 30 mm; 2.7 um,Fast reversed-phase separations of polar/nonpolar compounds.,680.00 USD,InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,2.1 mm,30 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Matched,
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,699775-742,Aq-C18 analytical column.,2.1 mm x 50 mm; 2.7 um,Polar/nonpolar reversed-phase separations.,931.00 USD,InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,2.1 mm,50 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,821725-955,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 2.1 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-821725-955/821725-955,,Matched,
SKU,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3/pk",823750-953,Guard column for 3.0 mm Aq-C18 analytical columns.,3.0 mm x 5 mm; 2.7 um,Guard/protection.,852.00 USD,InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,3.0 mm,5 mm,120 A,,Yes,3 Pack,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,823750-953,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3/pk",https://www.agilent.com/store/en_US/Prod-823750-953/823750-953,,This row is a guard,This SKU is already a guard column/cartridge; link points to itself.
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,695675-742,Aq-C18 analytical column.,3.0 mm x 100 mm; 2.7 um,Polar/nonpolar reversed-phase separations.,"1,084.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,3.0 mm,100 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,823750-953,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3.0 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-823750-953/823750-953,,Matched,
SKU,InfinityLab Poroshell 120 Aq-C18 HPLC Column,693675-742,Aq-C18 analytical column.,3.0 mm x 150 mm; 2.7 um,Polar/nonpolar reversed-phase separations.,"1,233.00 USD",InfinityLab / Altura Poroshell 120,Reversed Phase,2.7 um,3.0 mm,150 mm,120 A,,No,1 Each,Multiple,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/infinitylab-poroshell-120,Public product-list snippet row.,823750-953,"InfinityLab Poroshell 120 Aq-C18 UHPLC Guard, 3.0 mm, 2.7 um, 3/pk",https://www.agilent.com/store/en_US/Prod-823750-953/823750-953,,Matched,
SKU,Agilent ZORBAX StableBond 300 C18,861775-902,Reversed-phase C18 HPLC column with fully porous ZORBAX particles; StableBond technology.,2.1 mm x 100 mm; 3.5 um,"Low-pH reversed-phase work, peptides/proteins/large molecules due 300 A pore.",839.00 USD,ZORBAX,Reversed Phase,3.5 um,2.1 mm,100 mm,300 A,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,820950-921,"ZORBAX StableBond 300 C18 guard cartridge, 4.6 x 12.5 mm, 5 um, 4/pk",https://www.agilent.com/store/en_US/Prod-820950-921/820950-921,https://www.agilent.com/store/en_US/Prod-820999-901/820999-901,Needs verification - ID/hardware,"Official Agilent page found for 4.6 mm ZORBAX 300SB-C18 Reliance guard cartridge; starter ZORBAX rows include 2.1 mm analytical and 21.2 mm prep dimensions, so confirm the exact guard format before ordering."
SKU,Agilent ZORBAX StableBond 300 C18,883750-902,Reversed-phase C18 HPLC column with fully porous ZORBAX particles; StableBond technology.,2.1 mm x 150 mm; 5 um,"Low-pH reversed-phase work, peptides/proteins/large molecules due 300 A pore.",839.00 USD,ZORBAX,Reversed Phase,5 um,2.1 mm,150 mm,300 A,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,820950-921,"ZORBAX StableBond 300 C18 guard cartridge, 4.6 x 12.5 mm, 5 um, 4/pk",https://www.agilent.com/store/en_US/Prod-820950-921/820950-921,https://www.agilent.com/store/en_US/Prod-820999-901/820999-901,Needs verification - ID/hardware,"Official Agilent page found for 4.6 mm ZORBAX 300SB-C18 Reliance guard cartridge; starter ZORBAX rows include 2.1 mm analytical and 21.2 mm prep dimensions, so confirm the exact guard format before ordering."
SKU,Agilent ZORBAX StableBond 300 C18,881750-902,Reversed-phase C18 HPLC column with fully porous ZORBAX particles; StableBond technology.,2.1 mm x 250 mm; 5 um,"Low-pH reversed-phase work, peptides/proteins/large molecules due 300 A pore.",924.00 USD,ZORBAX,Reversed Phase,5 um,2.1 mm,250 mm,300 A,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,820950-921,"ZORBAX StableBond 300 C18 guard cartridge, 4.6 x 12.5 mm, 5 um, 4/pk",https://www.agilent.com/store/en_US/Prod-820950-921/820950-921,https://www.agilent.com/store/en_US/Prod-820999-901/820999-901,Needs verification - ID/hardware,"Official Agilent page found for 4.6 mm ZORBAX 300SB-C18 Reliance guard cartridge; starter ZORBAX rows include 2.1 mm analytical and 21.2 mm prep dimensions, so confirm the exact guard format before ordering."
SKU,InfinityLab ZORBAX Eclipse Plus C18 Preparative HPLC Column,595100-902,Preparative C18 column optimized for pH 2-9 and robust chromatographic separations.,21.2 mm x 100 mm; 5 um,General-purpose preparative reversed-phase purification.,"3,446.00 USD",ZORBAX,Reversed Phase,5 um,21.2 mm,100 mm,,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,,,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,,Needs verification - prep/phase-specific,"No exact ZORBAX guard inferred from the starter row; prep and Eclipse Plus guard selection depends on phase, ID, and PrepHT/Reliance hardware."
SKU,InfinityLab ZORBAX Eclipse Plus C18 Preparative HPLC Column,595150-902,Preparative C18 column optimized for pH 2-9.,21.2 mm x 150 mm; 5 um,General-purpose preparative reversed-phase purification.,"3,976.00 USD",ZORBAX,Reversed Phase,5 um,21.2 mm,150 mm,,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,,,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,,Needs verification - prep/phase-specific,"No exact ZORBAX guard inferred from the starter row; prep and Eclipse Plus guard selection depends on phase, ID, and PrepHT/Reliance hardware."
SKU,InfinityLab ZORBAX Eclipse Plus C18 Preparative HPLC Column,595250-902,Preparative C18 column optimized for pH 2-9.,21.2 mm x 250 mm; 5 um,General-purpose preparative reversed-phase purification.,"4,705.00 USD",ZORBAX,Reversed Phase,5 um,21.2 mm,250 mm,,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,,,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,,Needs verification - prep/phase-specific,"No exact ZORBAX guard inferred from the starter row; prep and Eclipse Plus guard selection depends on phase, ID, and PrepHT/Reliance hardware."
SKU,InfinityLab ZORBAX Eclipse Plus C18 Preparative HPLC Column,595050-902,Preparative C18 column optimized for pH 2-9.,21.2 mm x 50 mm; 5 um,General-purpose preparative reversed-phase purification.,"2,384.00 USD",ZORBAX,Reversed Phase,5 um,21.2 mm,50 mm,,SS,,1 Each,980,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,Representative first-page row; not complete SKU family.,,,https://www.agilent.com/en/product/small-molecule-columns/reversed-phase-hplc-columns/zorbax,,Needs verification - prep/phase-specific,"No exact ZORBAX guard inferred from the starter row; prep and Eclipse Plus guard selection depends on phase, ID, and PrepHT/Reliance hardware."
SKU,Polaris NH2 180 A HPLC Column,A2014100X030,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,3 mm x 100 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,951.00 USD,Polaris,HILIC,3 um,3 mm,100 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014150X020,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,2 mm x 150 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,968.00 USD,Polaris,HILIC,3 um,2 mm,150 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014150X030,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,3 mm x 150 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,987.00 USD,Polaris,HILIC,3 um,3 mm,150 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014250X020,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,2 mm x 250 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,"1,096.00 USD",Polaris,HILIC,3 um,2 mm,250 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014250X030,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,3 mm x 250 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,"1,118.00 USD",Polaris,HILIC,3 um,3 mm,250 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
SKU,Polaris NH2 180 A HPLC Column,A2014100X046,Ultra-pure silica and silanol shielding; NH2 chemistry for polar samples.,4.6 mm x 100 mm; 3 um; 180 A,Sugar and carbohydrate analysis; polar compounds in HILIC mode.,951.00 USD,Polaris,HILIC,3 um,4.6 mm,100 mm,180 A,,No,1 Each,31,https://www.agilent.com/en/product/small-molecule-columns/hilic-columns/polaris-hilic,Representative first-page row; also overlaps NP/SFC Polaris listings.,A2013050G100,"Polaris NH2 Guard Column, 180 A, 5 um, 50 x 10.0 mm",https://www.agilent.com/store/en_US/Prod-A2013050G100/A2013050G100,,Needs verification - format/ID,Official Agilent Polaris NH2 guard found; confirm format for 2.0/3.0/4.6 mm analytical columns before ordering.
